no,gender,age,height,weight,bmi,griffith,sensitivity,environment,thermal sensation,thermal comfort,thermal preference,room,seat,season,date,time,ta,hr
2,1,24,172,78,0,1.45,1,0,0,1,1,202,3,summer,2019/7/23,16:44:00,24,57.9
2,1,24,172,78,0,1.45,1,0,0,1,1,202,3,summer,2019/7/23,16:44:00,24,57.9
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,16:10:00,24,57.45
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,16:10:00,24,57.45
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,15:42:00,24.2,57.06
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,15:38:00,24.2,57.25
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,16:12:00,24,57.55
2,1,24,172,78,0,1.45,1,0,0,1,1,202,3,summer,2019/7/23,15:08:00,24.4,56.88
2,1,24,172,78,0,1.45,1,0,0.5,2,1,202,3,summer,2019/7/23,14:41:00,25,58.97
2,1,24,172,78,0,1.45,1,0,0.5,2,1,202,3,summer,2019/7/23,14:38:00,25.1,59.51
2,1,24,172,78,0,1.45,1,0,-0.5,1,3,202,3,summer,2019/7/23,12:03:00,23.7,56.7
2,1,24,172,78,0,1.45,1,0,-0.5,2,3,202,3,summer,2019/7/23,11:37:00,23.7,56.05
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,11:03:00,23.9,57.1
2,1,24,172,78,0,1.45,1,0,0,1,2,202,3,summer,2019/7/23,10:29:00,24,57.04
2,1,24,172,78,0,1.45,1,0,0.5,2,1,202,2,summer,2019/7/22,17:35:00,25.5,63.16
2,1,24,172,78,0,1.45,1,0,0,1,1,202,3,summer,2019/7/23,15:08:00,24.4,56.88
2,1,24,172,78,0,1.45,1,0,-0.5,1,2,202,2,summer,2019/7/22,17:14:00,25.3,62.53
