count,male,female,young,old,short,medium,tall,thin,normal,fat,bmi_l,bmi_n,bmi_h,grf_l,grf_n,grf_h,sen_l,sen_n,sen_h,pre_l,pre_n,pre_h,env_l,env_n,env_h,date,time,ta,hr,season,va,ta_diff1,ta_diff2,age_avg,height_avg,weight_avg,bmi_avg,griffith_avg,tsv
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,14:30:00,26.125,13.1875,1,0.30818122244709384,-3.552713678800501e-15,0.5374999999999979,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,15:00:00,26.8875,13.962499999999999,1,0.18892195777569087,0.7624999999999993,0.7624999999999957,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,15:30:00,26.312500000000004,15.2,1,0.7727641016863677,-0.5749999999999957,0.18750000000000355,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,16:00:00,24.6875,17.125,1,0.9619860012283721,-1.6250000000000036,-2.1999999999999993,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,16:30:00,24.2,18.25,1,1.107311350004742,-0.4875000000000007,-2.1125000000000043,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,17:00:00,23.9875,18.625,1,0.16705236787915959,-0.21249999999999858,-0.6999999999999993,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,17:30:00,23.825000000000003,18.8375,1,0.9462046393428338,-0.16249999999999787,-0.37499999999999645,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,09:00:00,20.05,15.787500000000001,1,0.5724258661096088,0.0,0.0,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,09:30:00,20.875,17.65,1,0.47628904419446777,0.8249999999999993,0.0,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,10:00:00,23.4125,15.587499999999999,1,0.7036898533722886,2.5375000000000014,3.3625000000000007,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,10:30:00,24.5625,14.95,1,0.5369228920588781,1.1499999999999986,3.6875,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,11:00:00,26.075000000000003,13.900000000000002,1,0.024693445992264217,1.5125000000000028,2.6625000000000014,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,11:30:00,25.587500000000002,14.987499999999999,1,0.2165642412117498,-0.4875000000000007,1.0250000000000021,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,12:00:00,26.125000000000004,14.65,1,0.5585652596777909,0.5375000000000014,0.05000000000000071,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,14:30:00,26.125,13.1875,1,0.6755672336495425,-3.552713678800501e-15,0.5374999999999979,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,15:00:00,26.8875,13.962499999999999,1,0.5362072489316315,0.7624999999999993,0.7624999999999957,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,15:30:00,26.312500000000004,15.2,1,0.04035582575178207,-0.5749999999999957,0.18750000000000355,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,16:00:00,24.6875,17.125,1,0.7167785758998583,-1.6250000000000036,-2.1999999999999993,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,16:30:00,24.2,18.25,1,0.570040227413277,-0.4875000000000007,-2.1125000000000043,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,17:00:00,23.9875,18.625,1,0.36866680845279104,-0.21249999999999858,-0.6999999999999993,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,17:30:00,23.825000000000003,18.8375,1,0.25677344105380445,-0.16249999999999787,-0.37499999999999645,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,09:00:00,20.05,15.787500000000001,1,1.0513727289297494,0.0,0.0,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,09:30:00,20.875,17.65,1,1.1099122729832165,0.8249999999999993,0.0,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,10:00:00,23.4125,15.587499999999999,1,1.1517191732082745,2.5375000000000014,3.3625000000000007,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,10:30:00,24.5625,14.95,1,0.07486048819951283,1.1499999999999986,3.6875,23.75,175.625,65.625,21.05625,1.4525,0
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,11:00:00,26.075000000000003,13.900000000000002,1,0.06326818973290886,1.5125000000000028,2.6625000000000014,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,11:30:00,25.587500000000002,14.987499999999999,1,0.7247241342183834,-0.4875000000000007,1.0250000000000021,23.75,175.625,65.625,21.05625,1.4525,2
8,1.0,0.6,1.0,0.14285714285714285,0.75,0.25,1.0,1.0,0.5,0.5,0.4,1.0,0.2,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.75,1.0,2021/1/09,12:00:00,26.125000000000004,14.65,1,0.9699801736454132,0.5375000000000014,0.05000000000000071,23.75,175.625,65.625,21.05625,1.4525,2
