no,gender,age,height,weight,bmi,griffith,ta,hr,tsv
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,74.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,22.5,75.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,50.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,50.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,51.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,51.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,52.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,52.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,53.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,53.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,54.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,54.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,55.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,55.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,56.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,56.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,57.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,57.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,58.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,58.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,59.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,59.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,60.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,60.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,61.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,61.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,62.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,62.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,63.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,63.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,64.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,64.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,65.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,65.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,66.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,66.5,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,67.0,0.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,67.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,68.0,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,68.5,2.0
1.0,0.0,22.0,164.0,45.0,16.73,0.96,23.0,69.0,2.0
