no,gender,age,height,weight,ta,hr,season,thermal sensation,bmi,griffith
4,0,22,162,53,25,56,0,1,20.2,0.52
4,0,22,162,53,24.4,45,0,0,20.2,0.52
4,0,22,162,53,23.7,53,0,-1,20.2,0.52
4,0,22,162,53,23,52,0,-1.5,20.2,0.52
4,0,22,162,53,23.4,56,0,-1.5,20.2,0.52
4,0,22,162,53,24.9,63,0,-0.5,20.2,0.52
4,0,22,162,53,26.2,59,0,2.5,20.2,0.52
4,0,22,162,53,24.9,60,0,1,20.2,0.52
4,0,22,162,53,25.3,51,0,-0.5,20.2,0.52
4,0,22,162,53,24.8,47,0,-1.5,20.2,0.52
4,0,22,162,53,24.8,59,0,0,20.2,0.52
4,0,22,162,53,26.8,57,0,1,20.2,0.52
4,0,22,162,53,23.7,53,0,-2,20.2,0.52
4,0,22,162,53,25.1,50,0,-0.5,20.2,0.52
4,0,22,162,53,24.9,49,0,-1.5,20.2,0.52
4,0,22,162,53,24,55,0,2,20.2,0.52
4,0,22,162,53,24.4,55,0,0.5,20.2,0.52
4,0,22,162,53,25.9,55,0,0,20.2,0.52
4,0,22,162,53,26.4,60,0,3,20.2,0.52
4,0,22,162,53,27.5,61,0,1,20.2,0.52
4,0,22,162,53,24.5,58,0,-1,20.2,0.52
4,0,22,162,53,24,54,0,-1.5,20.2,0.52
4,0,22,162,53,23.9,57,0,0,20.2,0.52
4,0,22,162,53,25.2,51,0,0.5,20.2,0.52
4,0,22,162,53,26.4,61,0,2.5,20.2,0.52
5,1,24,180,62,24.9,52,0,-1.2,19.14,1.05
5,1,24,180,62,26.7,49,0,0.6,19.14,1.05
5,1,24,180,62,27.6,60,0,0.3,19.14,1.05
5,1,24,180,62,28.3,49,0,0.1,19.14,1.05
5,1,24,180,62,28.9,48,0,1.5,19.14,1.05
5,1,24,180,62,28.3,56,0,3,19.14,1.05
5,1,24,180,62,25.4,48,0,-0.3,19.14,1.05
5,1,24,180,62,24.2,48,0,-0.3,19.14,1.05
5,1,24,180,62,23.9,50,0,-1.3,19.14,1.05
5,1,24,180,62,28,47,0,1.5,19.14,1.05
5,1,24,180,62,28.1,48,0,1.5,19.14,1.05
5,1,24,180,62,26.6,60,0,0.8,19.14,1.05
5,1,24,180,62,25.9,57,0,0.3,19.14,1.05
5,1,24,180,62,24.9,54,0,2.6,19.14,1.05
5,1,24,180,62,23.4,53,0,0.3,19.14,1.05
5,1,24,180,62,25.2,47,0,0.6,19.14,1.05
5,1,24,180,62,27.2,48,0,0.4,19.14,1.05
5,1,24,180,62,27.2,48,0,0.4,19.14,1.05
5,1,24,180,62,27.2,48,0,0.4,19.14,1.05
5,1,24,180,62,28.7,53,0,3,19.14,1.05
5,1,24,180,62,25.5,52,0,0,19.14,1.05
5,1,24,180,62,25.6,52,0,0,19.14,1.05
5,1,24,180,62,25.6,49,0,0.1,19.14,1.05
5,1,24,180,62,23.1,52,0,-2,19.14,1.05
5,1,24,180,62,23.1,54,0,0.8,19.14,1.05
5,1,24,180,62,25.3,52,0,0.9,19.14,1.05
5,1,24,180,62,25.5,44,0,-1,19.14,1.05
5,1,24,180,62,27.1,48,0,0,19.14,1.05
5,1,24,180,62,27.1,48,0,0,19.14,1.05
5,1,24,180,62,27.1,48,0,0,19.14,1.05
5,1,24,180,62,25.4,47,0,0,19.14,1.05
5,1,24,180,62,22.7,49,0,-1.5,19.14,1.05
5,1,24,180,62,25.5,47,0,0,19.14,1.05
5,1,24,180,62,27.1,48,0,0,19.14,1.05
5,1,24,180,62,26.9,45,0,0,19.14,1.05
5,1,24,180,62,26.9,45,0,0,19.14,1.05
5,1,24,180,62,26.9,45,0,0,19.14,1.05
5,1,24,180,62,26.9,45,0,0,19.14,1.05
5,1,24,180,62,26.9,45,0,0,19.14,1.05
5,1,24,180,62,29.3,52,0,2,19.14,1.05
5,1,24,180,62,25.6,43,0,0.5,19.14,1.05
5,1,24,180,62,25.2,43,0,0,19.14,1.05
5,1,24,180,62,25,45,0,0,19.14,1.05
5,1,24,180,62,24.8,45,0,-0.5,19.14,1.05
5,1,24,180,62,29.1,56,0,3,19.14,1.05
5,1,24,180,62,29.5,58,0,3,19.14,1.05
5,1,24,180,62,27.7,52,0,0.5,19.14,1.05
5,1,24,180,62,27.1,48,0,0,19.14,1.05
5,1,24,180,62,25.7,58,0,0.8,19.14,1.05
5,1,24,180,62,26.9,54,0,0,19.14,1.05
5,1,24,180,62,26.7,57,0,0,19.14,1.05
5,1,24,180,62,27.2,59,0,0.2,19.14,1.05
5,1,24,180,62,23.2,83,0,0.2,19.14,1.05
5,1,24,180,62,23.5,55,0,0.1,19.14,1.05
5,1,24,180,62,26.8,56,0,0.1,19.14,1.05
5,1,24,180,62,27,57,0,0.2,19.14,1.05
5,1,24,180,62,26.5,57,0,0.3,19.14,1.05
5,1,24,180,62,26.7,58,0,0.1,19.14,1.05
5,1,24,180,62,25.8,57,0,0.1,19.14,1.05
5,1,24,180,62,25.3,51,0,0.1,19.14,1.05
5,1,24,180,62,25.6,55,0,0.1,19.14,1.05
5,1,24,180,62,26.9,57,0,1.1,19.14,1.05
5,1,24,180,62,27.3,57,0,0.1,19.14,1.05
5,1,24,180,62,23.9,55,0,-0.3,19.14,1.05
5,1,24,180,62,23.6,54,0,-0.2,19.14,1.05
5,1,24,180,62,27.2,59,0,0.1,19.14,1.05
5,1,24,180,62,27.4,56,0,0.8,19.14,1.05
5,1,24,180,62,26.8,53,0,0.5,19.14,1.05
5,1,24,180,62,26.7,50,0,0,19.14,1.05
5,1,24,180,62,25.7,45,0,0,19.14,1.05
5,1,24,180,62,25.3,44,0,0.9,19.14,1.05
5,1,24,180,62,25.5,47,0,0.3,19.14,1.05
5,1,24,180,62,27.7,47,0,-0.2,19.14,1.05
5,1,24,180,62,24.9,44,0,-0.5,19.14,1.05
5,1,24,180,62,26.6,64,0,0,19.14,1.05
5,1,24,180,62,26.4,54,0,0,19.14,1.05
